image_id,split,label,EAR,MAR,Circularity,MOE
train_9547,train,drowsy,0.3362,0.8465,0.5264,2.5178
train_1124,train,drowsy,0.357,0.841,0.5281,2.3558
train_3567,train,drowsy,0.3657,0.6592,0.5839,1.8025
train_2440,train,drowsy,0.3711,0.6974,0.5702,1.8793
train_2149,train,drowsy,0.3448,0.8516,0.5394,2.4696
train_900,train,drowsy,0.4488,1.0217,0.6795,2.2763
train_900,train,drowsy,0.4488,1.0217,0.6795,2.2763
train_6068,train,drowsy,0.3162,0.8872,0.5766,2.8057
train_4503,train,drowsy,0.3135,1.0221,0.567,3.2605
train_8062,train,drowsy,0.3048,1.2375,0.5315,4.0597
train_7675,train,drowsy,0.1057,0.7393,0.385,6.9972
train_9468,train,drowsy,0.2334,0.9888,0.5016,4.2358
train_4725,train,drowsy,0.3558,1.0367,0.5815,2.9139
train_9771,train,drowsy,0.3301,1.0078,0.5434,3.053
train_426,train,drowsy,0.3389,0.9695,0.5499,2.8609
train_4995,train,drowsy,0.486,1.0916,0.6802,2.2462
train_7709,train,drowsy,0.3323,1.1566,0.5294,3.4803
train_862,train,drowsy,0.4289,1.2842,0.6183,2.9943
train_4454,train,drowsy,0.2381,0.9174,0.4891,3.8532
train_3103,train,drowsy,0.2921,1.0322,0.512,3.5343
train_9740,train,drowsy,0.1794,0.6529,0.3656,3.6395
train_4385,train,drowsy,0.1698,0.6576,0.3574,3.8719
train_21,train,drowsy,0.2046,0.6498,0.382,3.1762
train_4276,train,drowsy,0.3187,0.941,0.5165,2.953
train_7003,train,drowsy,0.1623,1.1231,0.3976,6.9193
train_61,train,drowsy,0.4391,0.9541,0.6427,2.1728
train_2179,train,drowsy,0.3901,1.1178,0.5759,2.8658
train_6461,train,drowsy,0.3944,1.29,0.5996,3.2704
train_1433,train,drowsy,0.3528,0.9659,0.607,2.7376
train_4619,train,drowsy,0.2643,1.0727,0.425,4.0592
train_3376,train,drowsy,0.3993,0.6953,0.6159,1.7414
train_423,train,drowsy,0.4583,1.2957,0.5768,2.827
train_6221,train,drowsy,0.246,1.3112,0.3983,5.3294
train_1510,train,drowsy,0.0917,0.5759,0.2841,6.2828
train_9796,train,drowsy,0.4732,1.3764,0.4282,2.9086
train_2210,train,drowsy,0.5714,1.4521,0.6001,2.5411
train_6279,train,drowsy,0.5302,1.1858,0.6767,2.2366
train_1750,train,drowsy,0.4769,1.3743,0.4296,2.8818
train_3141,train,drowsy,0.3157,1.0685,0.312,3.3842
train_1283,train,drowsy,0.4441,1.1866,0.5522,2.6718
train_3181,train,drowsy,0.2341,1.2252,0.4443,5.2339
train_7025,train,drowsy,0.325,0.8342,0.5181,2.5663
train_9702,train,drowsy,0.3715,1.223,0.6003,3.2923
train_1883,train,drowsy,0.4607,1.0352,0.6924,2.247
train_9702,train,drowsy,0.3715,1.223,0.6003,3.2923
train_1090,train,drowsy,0.3368,1.0041,0.5712,2.9813
train_5767,train,drowsy,0.3594,1.0222,0.5758,2.8444
train_8961,train,drowsy,0.3392,1.2832,0.5899,3.7824
train_3461,train,drowsy,0.3389,1.2605,0.579,3.7195
train_6787,train,drowsy,0.4557,0.9934,0.6877,2.1799
train_3461,train,drowsy,0.3389,1.2605,0.579,3.7195
train_9844,train,drowsy,0.3222,0.9861,0.5349,3.0604
train_7237,train,drowsy,0.484,1.0082,0.6931,2.0832
train_8008,train,drowsy,0.3897,0.9151,0.5978,2.3485
train_6760,train,drowsy,0.3525,0.9986,0.5636,2.8329
train_9415,train,drowsy,0.4247,0.7143,0.6502,1.6818
train_2991,train,drowsy,0.3874,0.9051,0.596,2.3364
train_5102,train,drowsy,0.4166,0.6634,0.6405,1.5924
train_1896,train,drowsy,0.4271,1.1237,0.6849,2.6312
train_3643,train,drowsy,0.4282,1.092,0.6783,2.5505
train_3643,train,drowsy,0.4282,1.092,0.6783,2.5505
train_8810,train,drowsy,0.3443,1.2013,0.5565,3.4892
train_3872,train,drowsy,0.3855,0.9836,0.6462,2.5514
train_3518,train,drowsy,0.3277,1.1463,0.5506,3.4982
train_3872,train,drowsy,0.3855,0.9836,0.6462,2.5514
train_4550,train,drowsy,0.3131,0.7747,0.5517,2.4746
train_2567,train,drowsy,0.3408,0.9606,0.608,2.8189
train_9996,train,drowsy,0.4142,1.2018,0.5837,2.9016
train_7917,train,drowsy,0.2188,0.9646,0.4309,4.4093
train_3730,train,drowsy,0.4117,1.039,0.6578,2.5237
train_6905,train,drowsy,0.2086,1.2327,0.4327,5.9097
train_9841,train,drowsy,0.4447,1.0776,0.715,2.4234
train_686,train,drowsy,0.4113,1.0946,0.672,2.6612
train_686,train,drowsy,0.4113,1.0946,0.672,2.6612
train_180,train,drowsy,0.3608,1.0766,0.6034,2.9839
train_1841,train,drowsy,0.47,1.2177,0.6804,2.5906
train_6385,train,drowsy,0.4015,1.1259,0.6698,2.8042
train_2099,train,drowsy,0.3308,1.0697,0.5558,3.2337
train_8063,train,drowsy,0.5019,0.9947,0.4204,1.982
train_7868,train,drowsy,0.3564,1.0967,0.583,3.0767
train_7442,train,drowsy,0.3286,1.005,0.5553,3.0587
train_6874,train,drowsy,0.291,1.1387,0.5543,3.9128
train_1954,train,drowsy,0.34,1.0804,0.5865,3.1778
train_3561,train,drowsy,0.115,0.8964,0.4545,7.7968
train_3760,train,drowsy,0.4787,0.8144,0.6726,1.7014
train_6191,train,drowsy,0.1254,0.9773,0.464,7.7909
train_793,train,drowsy,0.1335,0.8182,0.458,6.13
train_9019,train,drowsy,0.1702,1.1475,0.4459,6.7419
train_6298,train,drowsy,0.2082,1.0957,0.4912,5.2621
train_1153,train,drowsy,0.1713,1.0425,0.4414,6.0851
train_8477,train,drowsy,0.1972,0.9568,0.4469,4.8531
train_1587,train,drowsy,0.3869,1.1537,0.5388,2.9817
train_1,train,drowsy,0.4337,1.2467,0.4074,2.8748
train_7754,train,drowsy,0.3463,0.6289,0.4404,1.816
train_9999,train,drowsy,0.4,1.0316,0.6551,2.579
train_8587,train,drowsy,0.4001,0.8565,0.6337,2.1405
train_40,train,drowsy,0.3667,0.8273,0.6202,2.2563
train_8335,train,drowsy,0.3796,0.9372,0.626,2.4692
train_9999,train,drowsy,0.4,1.0316,0.6551,2.579
train_3809,train,drowsy,0.0887,1.0359,0.3578,11.6826
train_6006,train,drowsy,0.3232,0.8403,0.5367,2.5997
train_452,train,drowsy,0.1359,1.0394,0.3924,7.6459
train_6006,train,drowsy,0.3232,0.8403,0.5367,2.5997
train_6006,train,drowsy,0.3232,0.8403,0.5367,2.5997
train_3895,train,drowsy,0.3814,1.192,0.6099,3.125
train_4288,train,drowsy,0.531,1.2368,0.7739,2.329
train_8412,train,drowsy,0.4099,1.2577,0.4805,3.0686
train_341,train,drowsy,0.293,0.9227,0.5352,3.1494
train_9854,train,drowsy,0.201,0.7787,0.4653,3.8747
train_3103,train,drowsy,0.3469,1.069,0.4714,3.0816
train_8154,train,drowsy,0.0845,0.6916,0.4033,8.184
train_6135,train,drowsy,0.2171,0.773,0.4797,3.56
train_4791,train,drowsy,0.1184,0.6996,0.4183,5.9078
train_1339,train,drowsy,0.1204,0.9292,0.3822,7.7209
train_2223,train,drowsy,0.3463,0.6621,0.5777,1.9121
train_7232,train,drowsy,0.3203,0.7352,0.5458,2.2951
train_4537,train,drowsy,0.0535,0.6787,0.3637,12.6823
train_6721,train,drowsy,0.3449,1.1128,0.5006,3.2264
train_3035,train,drowsy,0.4066,1.0041,0.5959,2.4691
train_6470,train,drowsy,0.3549,1.0243,0.5541,2.8864
train_7805,train,drowsy,0.357,1.2159,0.5529,3.4061
train_7461,train,drowsy,0.2792,0.803,0.4936,2.8757
train_6490,train,drowsy,0.3575,1.1015,0.5767,3.0808
train_4346,train,drowsy,0.4512,1.0438,0.653,2.3134
train_769,train,drowsy,0.3441,1.3916,0.5788,4.0437
train_8147,train,drowsy,0.2969,1.3185,0.5311,4.441
train_9756,train,drowsy,0.2992,0.9891,0.5015,3.306
train_4346,train,drowsy,0.4512,1.0438,0.653,2.3134
train_3626,train,drowsy,0.4622,0.9591,0.6706,2.0752
train_5515,train,drowsy,0.399,1.2852,0.6542,3.2208
train_991,train,drowsy,0.144,1.1543,0.4498,8.0146
train_6139,train,drowsy,0.1642,1.0859,0.3946,6.6135
train_3079,train,drowsy,0.1266,1.2052,0.3841,9.5186
train_2057,train,drowsy,0.1548,1.2137,0.4056,7.842
train_3867,train,drowsy,0.1369,1.2254,0.3831,8.9533
train_8839,train,drowsy,0.173,0.8597,0.4188,4.9701
train_6713,train,drowsy,0.1983,0.8536,0.4511,4.3048
train_5061,train,drowsy,0.0823,0.9293,0.3408,11.2888
train_723,train,drowsy,0.1313,1.3675,0.3361,10.4124
train_5605,train,drowsy,0.0843,0.813,0.3525,9.6433
train_1779,train,drowsy,0.0824,0.9308,0.341,11.2892
train_5061,train,drowsy,0.0823,0.9293,0.3408,11.2888
train_7252,train,drowsy,0.0737,0.823,0.3324,11.169
train_4267,train,drowsy,0.384,1.042,0.5017,2.7135
train_2402,train,drowsy,0.324,1.0697,0.5527,3.3018
train_4568,train,drowsy,0.4403,1.0347,0.5651,2.3499
train_4881,train,drowsy,0.3643,0.7105,0.6273,1.95
train_7266,train,drowsy,0.394,1.1759,0.656,2.9842
train_6770,train,drowsy,0.2347,0.9214,0.4512,3.9265
train_8405,train,drowsy,0.3921,1.192,0.657,3.04
train_8405,train,drowsy,0.3921,1.192,0.657,3.04
train_1272,train,drowsy,0.296,0.8891,0.5681,3.0042
train_6589,train,drowsy,0.3531,1.0724,0.5777,3.0373
train_4472,train,drowsy,0.3241,1.2384,0.5506,3.8207
train_4755,train,drowsy,0.4226,0.912,0.6442,2.158
train_5643,train,drowsy,0.4494,0.9578,0.5758,2.1315
train_2713,train,drowsy,0.3729,0.9942,0.5614,2.6662
train_4603,train,drowsy,0.402,1.0622,0.6328,2.6421
train_1133,train,drowsy,0.4501,1.0661,0.6387,2.3684
train_2339,train,drowsy,0.4367,1.1403,0.6582,2.6109
train_7061,train,drowsy,0.4634,1.0812,0.6632,2.3334
train_5921,train,drowsy,0.3633,0.5295,0.5129,1.4573
train_785,train,drowsy,0.3209,0.6179,0.5382,1.9258
train_3189,train,drowsy,0.3302,0.6281,0.5504,1.902
train_9737,train,drowsy,0.2809,0.7826,0.5547,2.786
train_1973,train,drowsy,0.3203,0.5938,0.5558,1.8542
train_5589,train,drowsy,0.3773,0.7313,0.6302,1.938
train_45,train,drowsy,0.3541,0.93,0.6038,2.6266
train_25,train,drowsy,0.3549,0.8896,0.6017,2.5066
train_2199,train,drowsy,0.2652,0.7843,0.4615,2.9571
train_376,train,drowsy,0.2625,0.7774,0.4644,2.9615
train_2199,train,drowsy,0.2652,0.7843,0.4615,2.9571
train_3459,train,drowsy,0.2243,1.003,0.4715,4.4725
train_5515,train,drowsy,0.2216,1.0255,0.4705,4.6281
train_5421,train,drowsy,0.4123,1.1566,0.5083,2.8051
train_2239,train,drowsy,0.3177,0.7329,0.5292,2.3066
train_2165,train,drowsy,0.3848,1.1366,0.584,2.9536
train_1785,train,drowsy,0.4337,1.053,0.3973,2.4277
train_6453,train,drowsy,0.3594,1.0483,0.5336,2.9168
train_2478,train,drowsy,0.3893,0.9675,0.585,2.4855
train_2882,train,drowsy,0.5685,0.9106,0.4661,1.6017
train_7028,train,drowsy,0.1706,0.941,0.3815,5.5162
train_889,train,drowsy,0.2186,0.9243,0.4013,4.2293
train_7195,train,drowsy,0.3242,0.8524,0.4937,2.6295
train_1568,train,drowsy,0.2019,0.7929,0.4217,3.9274
train_6684,train,drowsy,0.381,0.8003,0.5813,2.1006
train_2680,train,drowsy,0.219,0.7997,0.4438,3.6515
train_8544,train,drowsy,0.3158,0.8667,0.4963,2.7447
train_1218,train,drowsy,0.4421,0.9006,0.6336,2.0371
train_2048,train,drowsy,0.4251,0.9133,0.6145,2.1486
train_1916,train,drowsy,0.1681,0.8902,0.3787,5.2953
train_7902,train,drowsy,0.253,0.6935,0.437,2.7411
train_313,train,drowsy,0.1932,0.9057,0.404,4.6892
train_5707,train,drowsy,0.3661,1.1269,0.5683,3.0778
train_2144,train,drowsy,0.2503,0.8408,0.4409,3.3592
train_2544,train,drowsy,0.2771,0.6078,0.4631,2.1934
train_2144,train,drowsy,0.2503,0.8408,0.4409,3.3592
train_3836,train,drowsy,0.2947,0.8618,0.4575,2.9246
train_774,train,drowsy,0.3188,0.889,0.4846,2.7884
train_4831,train,drowsy,0.2551,0.8464,0.4691,3.3173
train_804,train,drowsy,0.3475,0.9031,0.5013,2.5988
train_3148,train,drowsy,0.7136,0.6715,0.4155,0.941
train_8791,train,drowsy,0.3577,0.895,0.5271,2.5021
train_3712,train,drowsy,0.1042,0.8707,0.3912,8.3547
train_6137,train,drowsy,0.2197,1.0591,0.4878,4.8205
train_6883,train,drowsy,0.5163,0.3842,0.6864,0.7441
train_7471,train,drowsy,0.3079,0.901,0.4858,2.9265
train_1939,train,drowsy,0.4167,0.8283,0.6267,1.9878
train_2345,train,drowsy,0.3306,0.9857,0.5307,2.9817
train_2833,train,drowsy,0.2992,0.7864,0.481,2.6282
train_5516,train,drowsy,0.2134,0.9023,0.4328,4.2285
train_2833,train,drowsy,0.2992,0.7864,0.481,2.6282
train_4688,train,drowsy,0.3538,0.8518,0.459,2.4079
train_838,train,drowsy,0.3283,1.0735,0.5444,3.2703
train_2952,train,drowsy,0.3064,1.1802,0.57,3.8522
train_5549,train,drowsy,0.3048,1.0962,0.5622,3.5964
train_1758,train,drowsy,0.3013,0.8091,0.507,2.6853
train_8118,train,drowsy,0.314,0.9003,0.4892,2.867
train_491,train,drowsy,0.2485,0.8374,0.4087,3.37
train_5055,train,drowsy,0.3032,0.7426,0.5129,2.4491
train_7533,train,drowsy,0.4269,0.8147,0.4887,1.9086
train_6796,train,drowsy,0.2234,0.7575,0.445,3.3915
train_557,train,drowsy,0.409,0.7992,0.5968,1.9539
train_1148,train,drowsy,0.3899,0.7949,0.5875,2.0389
train_6985,train,drowsy,0.2615,0.7323,0.4498,2.8002
train_1042,train,drowsy,0.3488,0.7336,0.5279,2.1031
train_5042,train,drowsy,0.2959,0.7598,0.477,2.5678
train_7013,train,drowsy,0.1316,1.0387,0.378,7.8938
train_5327,train,drowsy,0.3196,0.818,0.5044,2.5591
train_900,train,drowsy,0.2726,0.8946,0.4965,3.2819
train_4357,train,drowsy,0.3464,1.1285,0.5459,3.2581
train_1889,train,drowsy,0.3794,1.0063,0.5629,2.6527
train_1371,train,drowsy,0.3763,0.9892,0.5553,2.6292
train_3137,train,drowsy,0.384,0.9335,0.5471,2.4312
train_8708,train,drowsy,0.3967,1.0125,0.5815,2.5524
train_8307,train,drowsy,0.4436,0.8908,0.6271,2.0082
train_9937,train,drowsy,0.3714,0.9604,0.539,2.5857
train_1314,train,drowsy,0.3917,1.0067,0.5768,2.5699
train_5596,train,drowsy,0.3842,1.0774,0.5829,2.8044
train_8985,train,drowsy,0.3916,0.9477,0.5597,2.4201
train_8143,train,drowsy,0.2833,0.8703,0.5501,3.0718
train_586,train,drowsy,0.1184,1.1076,0.3662,9.353
train_5489,train,drowsy,0.1127,1.0966,0.3649,9.7314
train_7659,train,drowsy,0.336,1.0742,0.4584,3.1967
train_8642,train,drowsy,0.3875,1.036,0.6669,2.6734
train_268,train,drowsy,0.2855,0.8178,0.4595,2.8643
train_4668,train,drowsy,0.3019,0.7971,0.4707,2.6403
train_241,train,drowsy,0.2939,0.8212,0.4511,2.7936
train_3192,train,drowsy,0.3654,0.9821,0.5905,2.6879
train_6733,train,drowsy,0.3907,1.0302,0.6021,2.6368
train_241,train,drowsy,0.2939,0.8212,0.4511,2.7936
train_3620,train,drowsy,0.3029,0.8132,0.4675,2.685
train_3165,train,drowsy,0.2677,0.7444,0.4948,2.7802
train_6690,train,drowsy,0.3532,0.8672,0.5795,2.4557
train_1739,train,drowsy,0.3477,0.7969,0.5683,2.2919
train_7737,train,drowsy,0.3851,1.0613,0.5663,2.7556
train_4425,train,drowsy,0.2612,0.8842,0.4948,3.3858
train_5059,train,drowsy,0.1977,1.0158,0.4596,5.1393
train_8737,train,drowsy,0.2237,1.1331,0.4407,5.0662
train_3421,train,drowsy,0.2646,1.0068,0.4924,3.8046
train_9545,train,drowsy,0.2527,0.9798,0.4653,3.8772
train_4873,train,drowsy,0.3245,1.0697,0.5429,3.2966
train_8127,train,drowsy,0.3169,1.1203,0.5482,3.5356
train_5267,train,drowsy,0.3712,1.1663,0.5778,3.1424
train_9892,train,drowsy,0.3344,1.0914,0.5367,3.2639
train_5274,train,drowsy,0.3724,1.2334,0.5924,3.3123
train_3026,train,drowsy,0.3379,0.9488,0.5426,2.808
train_3792,train,drowsy,0.3491,0.8379,0.5292,2.4
train_6948,train,drowsy,0.3986,1.0162,0.5713,2.5496
train_564,train,drowsy,0.3875,1.0367,0.5768,2.675
train_3348,train,drowsy,0.348,1.0146,0.5297,2.9154
train_8526,train,drowsy,0.3118,0.6442,0.477,2.0657
train_2683,train,drowsy,0.4985,0.9931,0.6223,1.9922
train_8616,train,drowsy,0.5122,0.9222,0.5776,1.8003
train_7542,train,drowsy,0.3069,0.778,0.4666,2.5347
train_9525,train,drowsy,0.3206,0.8002,0.4943,2.4963
train_7542,train,drowsy,0.3069,0.778,0.4666,2.5347
train_760,train,drowsy,0.1255,1.1706,0.4123,9.3308
train_1366,train,drowsy,0.1319,1.2029,0.4146,9.1192
train_8112,train,drowsy,0.1819,0.9345,0.4294,5.1373
train_5611,train,drowsy,0.3097,1.1426,0.5368,3.6898
train_6809,train,drowsy,0.2278,0.9622,0.4619,4.223
train_5715,train,drowsy,0.3585,0.9726,0.558,2.7132
train_5230,train,drowsy,0.0664,0.795,0.3855,11.9718
train_1654,train,drowsy,0.2429,1.1409,0.4771,4.6974
train_7277,train,drowsy,0.2745,1.0974,0.5283,3.9978
train_9982,train,drowsy,0.3843,1.1137,0.617,2.8981
train_2559,train,drowsy,0.2526,0.9124,0.6027,3.612
train_7072,train,drowsy,0.2331,0.8739,0.6232,3.7487
train_5349,train,drowsy,0.3321,0.7774,0.5375,2.3413
train_4267,train,drowsy,0.2043,0.8102,0.4147,3.9652
train_3164,train,drowsy,0.2082,0.7251,0.4306,3.4835
train_4443,train,drowsy,0.0687,0.8493,0.306,12.3701
train_4443,train,drowsy,0.0687,0.8493,0.306,12.3701
train_5685,train,drowsy,0.0627,0.8148,0.3159,12.9952
train_4115,train,drowsy,0.0809,0.8367,0.3229,10.3425
train_7061,train,drowsy,0.2401,0.7427,0.4265,3.0934
train_9143,train,drowsy,0.1073,0.6295,0.3207,5.8696
train_3153,train,drowsy,0.2983,0.9523,0.4781,3.1925
train_4784,train,drowsy,0.3009,0.9187,0.4806,3.0535
train_4007,train,drowsy,0.288,0.9077,0.4838,3.1519
train_1551,train,drowsy,0.2917,0.9047,0.491,3.1011
train_3328,train,drowsy,0.2865,1.0914,0.5059,3.8091
train_9139,train,drowsy,0.2879,1.1771,0.5104,4.0888
train_201,train,drowsy,0.2775,1.0544,0.4983,3.7991
train_4246,train,drowsy,0.2871,0.9615,0.4978,3.3485
train_8186,train,drowsy,0.0206,0.6983,0.3022,33.9619
train_8842,train,drowsy,0.2543,0.945,0.4641,3.7161
train_2155,train,drowsy,0.2499,0.9661,0.4594,3.8665
train_8884,train,drowsy,0.3004,0.8774,0.4696,2.9205
train_8090,train,drowsy,0.2667,1.002,0.4314,3.7569
train_3106,train,drowsy,0.3291,1.0331,0.5485,3.1395
train_9689,train,drowsy,0.3543,0.6766,0.5026,1.9095
train_7955,train,drowsy,0.3138,0.6218,0.4633,1.9817
train_650,train,drowsy,0.291,0.8131,0.4725,2.7938
train_3869,train,drowsy,0.3356,0.7921,0.5051,2.3601
train_6962,train,drowsy,0.2212,0.8268,0.4303,3.7371
train_5161,train,drowsy,0.3364,0.7839,0.5168,2.3302
train_3997,train,drowsy,0.1317,1.2824,0.3633,9.7364
train_9095,train,drowsy,0.3279,0.8281,0.5274,2.5258
train_2504,train,drowsy,0.1296,1.2641,0.3723,9.752
train_7421,train,drowsy,0.3634,0.839,0.5312,2.3089
train_9095,train,drowsy,0.3279,0.8281,0.5274,2.5258
train_7875,train,drowsy,0.3372,0.6836,0.5263,2.0272
train_332,train,drowsy,0.3507,0.6858,0.5393,1.9558
train_4604,train,drowsy,0.3438,0.8355,0.5218,2.4301
train_8179,train,drowsy,0.3918,1.0959,0.6173,2.7974
train_6946,train,drowsy,0.1047,1.1249,0.3596,10.744
train_4939,train,drowsy,0.2892,0.8026,0.4531,2.7755
train_7299,train,drowsy,0.108,1.0097,0.3666,9.3528
train_1544,train,drowsy,0.2883,0.8361,0.4662,2.9001
train_3919,train,drowsy,0.3826,1.2344,0.5361,3.2262
train_6036,train,drowsy,0.2931,0.8347,0.4662,2.8479
train_4818,train,drowsy,0.4037,1.2019,0.5756,2.9774
train_5310,train,drowsy,0.28,0.9234,0.4278,3.298
train_7271,train,drowsy,0.313,0.6701,0.4615,2.1405
train_569,train,drowsy,0.3675,0.7535,0.5614,2.0502
train_4168,train,drowsy,0.301,0.7861,0.4693,2.6113
train_6859,train,drowsy,0.2917,0.7675,0.4796,2.6312
train_5875,train,drowsy,0.2925,0.8012,0.4711,2.7387
train_1289,train,drowsy,0.2796,0.902,0.4524,3.2262
train_8755,train,drowsy,0.3216,0.9321,0.508,2.8984
train_9619,train,drowsy,0.3243,0.6568,0.4671,2.0253
train_7855,train,drowsy,0.2832,0.9221,0.452,3.2555
train_9621,train,drowsy,0.3848,0.502,0.5573,1.3046
train_8293,train,drowsy,0.2973,0.9186,0.4631,3.0898
train_2145,train,drowsy,0.3048,0.5385,0.5,1.7671
train_7143,train,drowsy,0.291,0.9555,0.4657,3.2835
train_9539,train,drowsy,0.2509,0.7899,0.4164,3.1485
train_9125,train,drowsy,0.2962,0.8191,0.4605,2.7657
train_5025,train,drowsy,0.2741,0.7833,0.4398,2.858
train_1234,train,drowsy,0.3429,0.6778,0.4901,1.9767
train_5410,train,drowsy,0.1578,0.7668,0.339,4.8593
train_9469,train,drowsy,0.277,0.7893,0.4341,2.8493
